number,z,log(1+z),logM*,log(sSFR/sSFR(MS)),"kpc/""",R1/2,del-R1/2,vrot,del-vrot,sigma-intrinsic,del-s,vrot/sintr,del-vrot/sintr,B/T,n(Sersic),M_bulge,Mmol-gas,Mbaryon,log(S* (R1/2)),log(S* (1kpc)),logSgas,fgas,logMgas/M*,SFRbest,sSFR,(V-J)rf,(U-V)rf,,type,logSSFR ,
,,,,Whitaker 14,,(kpc),(kpc),(km/s),(km/s),(km/s),(km/s),,,,,Msun,Msun,Msun,Msun kpc^-2,Msun kpc^-2,Msun/kpc^2,(baryonic),,Msun/yr,Gyr^-1,,,,,(Msun/yr/kpc^2),
101,2.254,0.512,10.65,-0.19,8.23,3.43,0.51,113,7,56,25,2.0,0.9,0.229,1.599,1.0E+10,3.97E+10,8.43E+10,8.78,9.135,8.73,0.47,-0.052,60.3,1.35,0.636,0.968,1.150,b-SFG,-0.089,101
102,2.019,0.480,10.82,0.23,8.36,2.67,0.40,133,5,35,23,3.8,2.5,0,0.214,0.0E+00,7.50E+10,1.41E+11,9.17,9.368,9.22,0.53,0.055,146.9,2.22,1.710,1.464,2.095,r-SFG,0.515,102
103,2.062,0.486,10.9,0.05,8.33,2.38,0.36,191,9,41,26,4.7,3.1,0.022,0.34,1.7E+09,6.91E+10,1.49E+11,9.35,9.436,9.29,0.47,-0.060,111.3,1.40,1.761,1.655,2.140,r-SFG,0.497,103
104,2.034,0.482,10.65,0.04,8.35,6.99,1.05,284,9,18,7,15.8,6.2,0.033,0.86,1.5E+09,4.64E+10,9.11E+10,8.16,9.583,8.18,0.51,0.017,81.3,1.82,0.986,1.054,1.458,b-SFG,-0.577,104
105,2.417,0.534,10.18,-0.07,8.12,3.53,0.53,172,13,39,14,4.4,1.6,-99,0.441,-1.0E+03,2.02E+10,3.54E+10,8.29,,8.41,0.57,0.126,38.2,2.53,0.633,0.591,1.147,b-SFG,-0.312,105
106,2.411,0.533,10.69,0.10,8.13,4.03,0.60,260,12,47,20,5.5,2.3,0.175,1.469,8.6E+09,6.69E+10,1.16E+11,8.68,9.955,8.82,0.58,0.136,142.8,2.92,1.124,1.047,1.579,b-SFG,0.146,106
107,2.035,0.482,10.38,-0.10,8.35,6.17,0.93,157,12,64,25,2.5,1.0,0.073,1.162,1.8E+09,2.49E+10,4.89E+10,8.00,8.9,8.02,0.51,0.016,41.0,1.71,0.846,1.141,1.334,b-SFG,-0.766,107
108,2.028,0.481,11.24,-0.24,8.35,6.40,0.96,355,17,72,35,5.0,2.4,0.143,3.193,2.5E+10,8.45E+10,2.58E+11,8.83,10.229,8.52,0.33,-0.313,93.4,0.54,1.644,1.916,2.037,r-SFG,-0.440,108
109,2.525,0.547,10.41,-0.04,8.05,3.54,0.53,238,18,59,17,4.0,1.2,-99,0.798,-1.0E+03,3.66E+10,6.23E+10,8.51,,8.67,0.59,0.153,75.9,2.95,0.700,0.886,1.206,b-SFG,-0.016,109
110,2.524,0.547,10.22,0.03,8.05,6.93,1.04,110,10,40,20,2.8,1.4,-99,2.651,-1.0E+03,2.65E+10,4.31E+10,7.74,,7.94,0.62,0.204,58.1,3.50,0.530,0.417,1.056,b-SFG,-0.715,110
111,0.798,0.255,10.68,0.93,7.51,2.32,0.35,196,4,21,7,9.6,3.3,0.369,3.456,1.8E+10,4.62E+10,9.40E+10,9.15,9.883,9.13,0.49,-0.016,124.8,2.61,1.406,1.451,1.927,r-SFG,0.566,111
112,0.907,0.280,10.85,0.20,7.82,3.90,0.59,324,9,33,18,9.9,5.5,0.414,2.475,2.9E+10,2.56E+10,9.64E+10,8.87,9.796,8.43,0.27,-0.442,31.2,0.44,1.471,1.620,1.984,r-SFG,-0.487,112
113,2.096,0.491,11.03,0.15,8.32,6.26,0.94,275,13,54,20,5.0,1.9,0,0.432,0.0E+00,9.96E+10,2.07E+11,8.64,8.805,8.61,0.48,-0.032,173.0,1.61,2.033,1.411,2.379,r-SFG,-0.154,113
114,2.064,0.486,10.76,0.20,8.33,4.14,0.62,300,10,42,20,7.2,3.5,0.008,0.352,4.6E+08,6.80E+10,1.26E+11,8.73,9.539,8.80,0.54,0.073,134.8,2.34,0.941,0.993,1.418,b-SFG,0.097,114
115,2.162,0.500,10.35,-0.31,8.28,3.54,0.53,132,3,47,23,2.8,1.4,0.027,0.886,6.0E+08,1.93E+10,4.16E+10,8.45,9.127,8.39,0.46,-0.065,26.9,1.20,0.597,0.761,1.115,b-SFG,-0.467,115
116,2.604,0.557,10.89,0.03,7.99,3.97,0.60,262,11,48,10,5.4,1.1,-99,1.221,-1.0E+03,9.13E+10,1.69E+11,8.89,,8.96,0.54,0.070,179.1,2.31,1.849,1.082,2.217,b-SFG,0.257,116
117,2.229,0.509,10.61,0.72,8.24,2.38,0.36,207,12,42,12,5.0,1.5,0.417,1.638,1.7E+10,1.18E+11,1.59E+11,9.06,9.486,9.52,0.74,0.463,453.8,11.14,0.882,0.893,1.366,b-SFG,1.105,117
118,2.171,0.501,10.4,0.01,8.28,4.96,0.74,269,6,43,17,6.2,2.4,0.003,0.238,7.5E+07,3.23E+10,5.74E+10,8.21,8.36,8.32,0.56,0.109,62.5,2.49,0.786,0.842,1.282,b-SFG,-0.393,118
119,2.219,0.508,10.09,-0.33,8.25,3.97,0.60,140,15,42,17,3.3,1.4,0.232,1.525,2.9E+09,1.11E+10,2.34E+10,8.09,8.63,8.05,0.47,-0.045,15.1,1.23,0.227,0.615,0.790,b-SFG,-0.815,119
120,2.166,0.501,10.64,-0.01,8.28,3.98,0.60,182,9,45,7,4.1,0.7,0.223,1.206,9.7E+09,4.68E+10,9.04E+10,8.64,9.161,8.67,0.52,0.030,82.8,1.90,0.524,0.811,1.051,b-SFG,-0.081,120
121,2.359,0.526,10.57,-0.14,8.16,2.45,0.37,160,8,28,7,5.7,1.4,0.169,0.85,6.3E+09,3.97E+10,7.68E+10,8.99,9.494,9.02,0.52,0.028,68.2,1.84,0.664,0.794,1.174,b-SFG,0.258,121
122,2.465,0.540,10.44,-0.09,8.09,4.90,0.74,158,7,26,7,6.1,1.7,0,0.752,0.0E+00,3.55E+10,6.31E+10,8.26,8.768,8.37,0.56,0.111,68.8,2.50,0.553,0.754,1.077,b-SFG,-0.341,122
123,2.470,0.540,10.83,0.11,8.09,4.01,0.60,168,9,36,10,4.7,1.4,-99,2.127,-1.0E+03,8.59E+10,1.54E+11,8.83,,8.93,0.56,0.104,177.8,2.63,0.262,0.638,0.821,b-SFG,0.245,123
124,2.087,0.490,10.05,-0.06,8.32,3.28,0.49,164,30,49,7,3.4,0.8,0.449,3.454,5.0E+09,1.36E+10,2.48E+10,8.22,9.216,8.30,0.55,0.084,23.4,2.09,0.604,0.708,1.122,b-SFG,-0.460,124
125,2.006,0.478,10.06,0.11,8.36,2.83,0.42,136,17,64,10,2.1,0.4,0.09,0.758,1.0E+09,1.68E+10,2.83E+10,8.36,8.835,8.52,0.59,0.165,33.7,2.94,0.486,0.715,1.018,b-SFG,-0.172,125
